cartodb_id,the_geom,wine,trees,soap,prepared,poultry,plants,nuts,nursery,meat,maple,jams,honey,vegetables,herbs,seafood,eggs,flowers,crafts,cheese,bakedgoods,snap,sfmnp,wiccash,wic,credit,fmid,location,schedule,zip,state,latitude,longitude
150,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003681,,,83211,Idaho,40.5432,-120.173
399,,false,false,false,true,false,true,true,false,false,true,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,1001773,Other,May - October Thursday 3:00 PM to 7:00 PM,48808,Michigan,42.816181,-84.449093
448,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002930,,,48809,Michigan,43.0066,-85.2941
630,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22004021,,,2129,Massachusetts,42.3606,-71.0621
833,,false,false,true,false,true,true,false,true,false,false,true,true,true,true,false,true,true,true,false,true,false,true,true,false,false,1001128,Local government building grounds,"May - October Saturday 9:00 AM to 12:30 PM, (The Farmers Market will be moving to new pavilion mid June, watch for Grand Opening information)",2830,Rhode Island,41.9656297,-71.6769185
879,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003250,,,42327,Kentucky,37.5385,-87.2584
975,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003456,,,62901,Illinois,37.5453,-89.242
1026,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22000360,,,5735,Vermont,43.6116,-73.1779
1122,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22000511,,May June - July August September October November,2138,Massachusetts,42.3723,-71.1227
1173,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001449,,,52134,Iowa,43.3568,-92.3172
1315,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22004525,,,,West Virginia,38.4601,-81.0845
1366,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22004769,,,,California,33.6781,-116.177
1417,,false,false,false,true,true,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,1004707,Other,May - December Saturday 9:00 AM to 1:00 PM,20010,District of Columbia,38.929936,-77.031991
1420,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003869,,,35051,Alabama,33.1795,-86.62
1556,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002376,,,,Ohio,41.5081,-81.58
1647,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002825,,,,Ohio,40.007,-82.6723
1701,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003579,,,,Connecticut,41.393,-72.4275
1706,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002862,,,,Ohio,39.3039,-84.2825
2055,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001859,,,73020,Oklahoma,35.4888,-97.2739
2112,,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false,true,true,true,true,true,1003068,Healthcare Institution,January - December Monday 3:00 PM to 5:00 PM,85714,Arizona,32.16326,-110.9691
2442,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22004041,,,1027,Massachusetts,42.3359,-72.6732
2443,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22004538,,,,Oregon,43.9747,-124.101
